"feature_name","mean_2050","mean_2055","mean_2060","mean_2065","mean_2070","mean_2075","mean_2080","mean_2085","mean_2090","mean_2095","mean_2100","mean_2105","mean_2110","mean_2115","mean_2120","mean_2125","mean_2130","mean_2135","mean_2140","mean_2145","mean_2150","mean_2155","mean_2160","mean_2165","mean_2170","mean_2175","mean_2180","mean_2185","mean_2190","mean_2195","mean_2200"
"glaciers_v0",0.00027804574,0.00043588146,0.0005072412,0.00044698696,0.00058392127,0.000522382,0.0009009333,0.0010625306,0.0012727855,0.0014132656,0.0014153257,0.001154775,0.0015901764,0.0017600245,0.0017506306,0.0020415299,0.002277469,0.0028300923,0.0024663124,0.003009206,0.0038266915,0.0035702286,0.0040117195,0.0048964615,0.006397068,0.0052797883,0.00609447,0.006745766,0.0075868736,0.006691805,0.009513525
"glaciers_s0",0.0011748369,0.0010077821,0.0008540911,0.00067760504,0.0006942898,0.00048609838,0.0004151948,0.0003912171,0.00043314553,0.0003064626,0.0002439226,0.00024273693,0.00044278125,0.00051924994,0.00057232287,0.000977811,0.00052928977,0.00026170322,0.0007177044,0.0009983449,0.0013582214,0.0013293524,0.0018169605,0.00156454,0.0022590344,0.0020037068,0.0016517256,0.0019797105,0.0017664299,0.0025978135,0.002165957
"antarctic_s0",0.00017824983,0.00020020595,0.00026769686,0.00019422117,0.00010009883,0.00018530102,0.000120219156,0.00028184286,0.0002764319,0.0003888218,0.0003022785,0.00025109068,0.00032704888,0.00024726123,0.00025708834,0.0004016887,0.00038341375,0.0005277256,0.0005057312,0.00041419812,0.00038160454,0.0005928999,0.0005503145,0.0006645228,0.00078550924,0.00048144936,0.0006694334,0.0007875256,0.0006914642,0.001086592,0.0006421428
"Q10",0.00074514665,0.0010435805,0.0016755037,0.0024692079,0.0036371497,0.003983345,0.005541638,0.0066858414,0.0083911205,0.009920515,0.011922638,0.013893598,0.015925257,0.018776901,0.02090419,0.02185837,0.026154224,0.028414581,0.03156923,0.03502153,0.03895614,0.038654182,0.044135902,0.04629883,0.05094706,0.051849023,0.055487927,0.061921295,0.063430905,0.069075495,0.073092796
"CO2_fertilization",0.00025983396,0.0002642366,0.0004442828,0.0005984424,0.00071182224,0.0010665494,0.00145972,0.0019228958,0.0024449779,0.0025278789,0.0034651961,0.0042606997,0.0044695656,0.00605144,0.006047953,0.0055650137,0.006745642,0.0076995287,0.008894749,0.008749375,0.009318609,0.0094276685,0.009364974,0.010644501,0.011137675,0.01207841,0.011713243,0.014666498,0.013119626,0.017563269,0.01664444
"CO2_diffusivity",0.00013762762,0.0001967392,0.000162269,0.00016529708,0.00044267203,0.0003994619,0.0004786705,0.0004422357,0.0008662855,0.0011459249,0.0015189184,0.0011086883,0.0012004315,0.001433106,0.0018862515,0.0020115613,0.0029038233,0.0028423138,0.0024045163,0.0031067224,0.004849051,0.004371978,0.00452231,0.0039711916,0.006021047,0.0044844057,0.005906775,0.0054983483,0.0049368497,0.0053352527,0.0062980796
"heat_diffusivity",0.0032313212,0.003171899,0.0027198575,0.0024959503,0.0018149315,0.001271172,0.0012252235,0.0010211683,0.0014432878,0.0019489479,0.0019252449,0.001911861,0.0016753826,0.0020262795,0.0018578755,0.0018492588,0.0013623043,0.0012578394,0.0013262351,0.0015097412,0.001808119,0.0011689251,0.00028504452,0.0005529629,0.0013517551,0.0006269934,0.0011387944,0.0010386064,0.0009458546,0.0015485777,0.0012300005
"rf_scale_aerosol",0.0042021326,0.006737089,0.00839402,0.011774663,0.014244318,0.018930506,0.022602815,0.026545035,0.031112747,0.035208616,0.039320692,0.043865237,0.047942,0.05367389,0.057288148,0.060811378,0.065647796,0.067206,0.07232047,0.07570316,0.077765346,0.082674205,0.083695106,0.087197304,0.08830456,0.090192616,0.090090394,0.095208496,0.09301661,0.0994758,0.09968155
"climate_sensitivity",0.013646039,0.016898345,0.022430077,0.028782172,0.036537036,0.043940093,0.05302477,0.061906744,0.07135135,0.08048366,0.08901007,0.09790015,0.10657146,0.116111256,0.12697719,0.13705517,0.14546409,0.15811267,0.16857053,0.17535675,0.18828943,0.19515042,0.20742208,0.2166459,0.22884592,0.23943691,0.25426605,0.26220015,0.27573475,0.28675425,0.2917316
"thermal_alpha",0.011718059,0.01282952,0.013866675,0.014669119,0.015297998,0.016181134,0.016835751,0.017283224,0.017577058,0.01762082,0.018424276,0.019346341,0.019836722,0.020972928,0.020714808,0.020997971,0.020801915,0.021780286,0.021695752,0.021816345,0.021168808,0.020733066,0.021287188,0.02190802,0.02261091,0.022771195,0.022969449,0.022122832,0.024598282,0.022553738,0.020576535
"greenland_a",0.0031408654,0.003061147,0.0024711834,0.0024834054,0.0018863243,0.0020364556,0.0030916228,0.0037302086,0.0037235713,0.004998531,0.0054464852,0.0044521033,0.0048932396,0.00473369,0.005774718,0.0060743354,0.0062211175,0.008550702,0.010736142,0.009512041,0.009788904,0.011234009,0.012129019,0.009732805,0.012757227,0.014705739,0.01365744,0.014042273,0.01129135,0.011635614,0.012830217
"greenland_b",0.0034590196,0.005150699,0.006478778,0.008085095,0.010011517,0.012336298,0.013336222,0.015747832,0.018194456,0.020027509,0.022267463,0.025344493,0.027077533,0.03147297,0.033554845,0.03415642,0.03733188,0.039316762,0.042462837,0.044188987,0.04607825,0.04871202,0.050769914,0.05566603,0.056964062,0.058063097,0.06168523,0.062060878,0.06485599,0.0690439,0.07418674
"greenland_alpha",0.0055198967,0.006377298,0.0070125074,0.008622982,0.008994351,0.010936699,0.0125878705,0.015152401,0.016326273,0.01932722,0.021718778,0.02297936,0.02561466,0.02828412,0.030151477,0.030843945,0.03249773,0.036371056,0.0392877,0.040737562,0.04182495,0.043271873,0.04536672,0.045127783,0.049168307,0.050538722,0.05104393,0.052671313,0.05072507,0.051583167,0.055300817
"greenland_beta",0.001241805,0.0017408683,0.0023796442,0.0034080124,0.00412357,0.0050677224,0.005982308,0.00654374,0.0071297814,0.00822921,0.010055305,0.011077573,0.012547212,0.014868473,0.015865672,0.018672531,0.01832138,0.021673623,0.019257644,0.02371535,0.02449516,0.023821792,0.027004475,0.027742956,0.028915863,0.028951282,0.030186651,0.03140319,0.031472784,0.03465315,0.036527857
"glaciers_beta0",0.0013570735,0.0010254523,0.00078797207,0.0003434421,0.00028219674,0.00019470051,0.00010188925,0.000117546464,0.00033368202,9.324157e-5,0.00030956703,0.00024928874,0.00052305736,0.0006470355,0.0005243902,0.0004938714,0.00032703677,0.0005213568,0.00076102745,0.00043065482,0.0007961481,0.0008021903,0.00125102,0.00094292394,0.0019299013,0.0012237679,0.0020121944,0.000711832,0.0012796,0.0011716703,0.0011585559
"glaciers_n",0.00055780855,0.00051014184,0.00048540725,0.0004725462,0.00049144204,0.00057925895,0.00062022154,0.0007069819,0.00046007184,0.000570165,0.0005661884,0.0006615013,0.0003124475,0.000563223,0.00042294044,0.0005646566,0.00075097673,0.00081846025,0.0010911098,0.00041725836,0.00045606555,0.0005954694,0.00047357831,0.0008146637,0.0006745882,0.0009895818,0.0008273232,0.0011341536,0.0007108889,0.0009239116,0.0013710188
"anto_alpha",0.0009986956,0.0013218193,0.0015063052,0.0018201338,0.0018986451,0.002107655,0.002411435,0.0019790328,0.0024662095,0.0031336239,0.0032087585,0.003744075,0.005281369,0.0053453683,0.005646984,0.0059780176,0.0065623224,0.007858844,0.0077782944,0.00788913,0.008280634,0.008813742,0.009914552,0.0090865875,0.010596852,0.009524814,0.009685015,0.009992306,0.011753161,0.010631463,0.012180854
"anto_beta",0.00038478855,0.00058950065,0.00039034543,0.00026135452,0.00024403505,0.0002581052,0.0003881597,0.00019687146,0.00016881978,0.00020915706,0.00023248105,0.00042628346,0.00025869798,0.00023053953,0.00037534663,0.00036919204,0.00023782952,0.0005996402,0.00042256422,0.00050243584,0.0005679844,0.00080672815,0.0006298469,0.000696834,0.0010905308,0.0007832271,0.0008792093,0.00057392626,0.0009358322,0.00065128977,0.0013283701
"antarctic_gamma",0.00014477568,0.0001214516,0.00014310837,0.00017360208,0.00018767957,0.00019379202,0.00015463028,0.00027648758,0.00025499452,0.00033096757,0.00028156376,0.0002227674,0.00036199938,0.00028834096,0.0002037149,0.00024895603,0.0002631682,0.00042295217,0.00025631458,0.00027414734,0.00013040709,0.00044765382,0.0002597055,0.00042833804,0.00025146984,0.00041301822,0.00047651544,0.00076532573,0.00037394746,0.0009929221,0.0006210456
"antarctic_alpha",0.0007074326,0.00085785025,0.00076128094,0.00082091877,0.0008477451,0.0010150262,0.00093490316,0.00087285956,0.0016437107,0.0020615563,0.0022436092,0.0026690674,0.0027787639,0.0028987175,0.0027040509,0.002845641,0.0024365745,0.0042175027,0.00415794,0.0039061818,0.0047405036,0.00441231,0.0054043867,0.0042737136,0.005727727,0.004009255,0.005487593,0.005652125,0.006534941,0.005190622,0.006954854
"antarctic_mu",0.001110639,0.00089711254,0.00067354087,0.0004892416,0.00049639755,0.0011685531,0.0024911803,0.0034093133,0.0060836007,0.008321721,0.010584729,0.013401679,0.014238699,0.017686402,0.020768307,0.02336556,0.02594585,0.026607398,0.029815502,0.032581743,0.035299793,0.037875365,0.039676227,0.042268626,0.045355357,0.047224853,0.046589084,0.051052313,0.053789336,0.0554124,0.058754656
"antarctic_nu",7.060136e-5,8.989309e-5,0.00010948689,0.00013314525,0.0002484942,0.00017754584,4.861879e-5,0.00019117174,0.00035056716,0.0006015968,0.0004300974,0.0006941449,0.00061350653,0.00077956554,0.0005133873,0.0008175479,0.0006401925,0.0008693613,0.00088210916,0.00092804944,0.0008576889,0.0012885018,0.0013402423,0.0010112553,0.0011773566,0.0016947635,0.0014292381,0.0014788259,0.0016051233,0.0025238243,0.0015540859
"antarctic_precip0",0.0024987545,0.003039103,0.0030031062,0.0031898965,0.003603144,0.004451366,0.0042745634,0.004860711,0.0055725756,0.0060707326,0.006935562,0.0077993744,0.008020763,0.008642682,0.009745944,0.010545864,0.011714418,0.011583699,0.01285524,0.013107298,0.014439375,0.015245845,0.016242342,0.01723769,0.015951553,0.017418891,0.01843166,0.019924026,0.019564768,0.019963084,0.022530897
"antarctic_kappa",0.00032374598,0.0003626891,0.0005911376,0.0007457856,0.001141523,0.0010764453,0.0010672386,0.0015816286,0.0013991375,0.0021756368,0.0023271649,0.0025408233,0.0028016572,0.0032831426,0.0031415964,0.0032358123,0.0031777627,0.0039071995,0.004300037,0.00427684,0.00396962,0.0038163445,0.004374335,0.004356645,0.003739746,0.004623607,0.0062832423,0.004864839,0.006106822,0.005765611,0.004797886
"antarctic_flow0",0.0002632822,0.00017238295,0.0002772403,0.00034036304,0.00054977415,0.00060761854,0.0008370872,0.0009183785,0.0010654173,0.0013050028,0.0015511826,0.0019445553,0.0022280947,0.003004256,0.0029308612,0.003468396,0.0035104805,0.003384924,0.0032405045,0.0037644822,0.005008628,0.003739434,0.005487568,0.0056012915,0.0059592067,0.0072546867,0.007268431,0.00588779,0.007493986,0.0068179243,0.0060183806
"antarctic_runoff_height0",0.00087670184,0.001345001,0.0016033506,0.0017998585,0.0021034388,0.002226669,0.0028827863,0.0030185562,0.004352533,0.0046535726,0.005161152,0.0058504483,0.00631484,0.0066107954,0.007462956,0.007996035,0.009862407,0.010305613,0.012025893,0.011657089,0.014426922,0.014672342,0.014922385,0.018102793,0.016225852,0.018376524,0.019679647,0.021116557,0.02246935,0.022972656,0.0206796
"antarctic_c",0.0006398117,0.000840234,0.0009047915,0.0011827402,0.001225783,0.0016031194,0.0021160909,0.0023031218,0.002672386,0.0026891541,0.0026360676,0.0030458302,0.0033780246,0.0036229317,0.004436407,0.004832375,0.0058479467,0.005305167,0.006272297,0.006287287,0.007011464,0.0065725115,0.006558949,0.00918408,0.008581286,0.009481867,0.008613971,0.009479941,0.011285095,0.010709605,0.01046694
"antarctic_bed_height0",5.8755864e-5,6.804304e-5,7.793705e-5,0.00011338635,7.923063e-5,7.973583e-5,0.00012152611,0.00014121611,0.00020576248,0.00031457294,0.0002845578,0.00024551857,0.00030634008,0.00035635958,0.0004700612,0.0006245431,0.00058960397,0.000579014,0.0005521262,0.0006032257,0.00050234597,0.0007474168,0.0009007993,0.0006961275,0.00056682224,0.0009231972,0.00086669787,0.0010934818,0.0009340492,0.0008987139,0.001198685
"antarctic_slope",0.00025767408,0.00028110616,0.00018603134,0.00027839874,0.00020020494,0.00015656241,0.00011333319,0.0001347087,0.00026007352,0.0002579656,0.00026525868,0.00035227186,0.00038415275,0.00044876614,0.0005770545,0.00075455615,0.0010968233,0.00074531947,0.0010489079,0.0005969714,0.0009311027,0.0011186692,0.0011196393,0.0018725224,0.0017559797,0.0018121555,0.0017348074,0.0015976955,0.0019390476,0.002836805,0.0022839752
"antarctic_lambda",0.0001546735,0.00029932053,0.0012441999,0.002608918,0.0053007468,0.0087079555,0.014117707,0.019900167,0.026718607,0.03449721,0.0416011,0.048321318,0.05629391,0.06320097,0.0711103,0.079544924,0.086026624,0.09379198,0.103440866,0.109888345,0.1149979,0.12423153,0.13068688,0.14023244,0.14610556,0.1549118,0.16153763,0.166641,0.17456861,0.18035387,0.18641335
"antarctic_temp_threshold",0.0024054025,0.0052673807,0.0110003855,0.018098148,0.027797895,0.03838481,0.04876606,0.05918905,0.06977112,0.0784562,0.08592695,0.09431247,0.10354188,0.11001099,0.11695607,0.12230596,0.12995723,0.13495438,0.14192797,0.14925833,0.15321447,0.15939963,0.16382886,0.16993028,0.17702673,0.18383847,0.18966779,0.19489518,0.2009908,0.2056178,0.21273535
"lw_random_sample",0.004762969,0.0050366647,0.0054769116,0.0061222594,0.0066913366,0.0071627577,0.007860896,0.008138503,0.008749532,0.008991952,0.009042111,0.009537167,0.01016549,0.010444066,0.011426966,0.0118212765,0.011972997,0.012267816,0.013184794,0.014097815,0.014084682,0.014116225,0.014226739,0.015747458,0.01634179,0.016275903,0.018457016,0.017059535,0.01632515,0.019661976,0.01760911
